ulke;radarName;Lat_Deg;Lat_Min;Lat_Sec;Lat_Dir;Lon_Deg;Lon_Min;Lon_Sec;Lon_Dir;groundHeight;bands;polarization
MA;Nouaceur;33;22;7;N;7;34;37;W;207;C;S
MA;Larache;35;9;49;N;6;6;59;W;54;C;S
MA;Agadir;30;19;39;N;9;23;52;W;65;C;S
MA;Benguerir;37;7;15;N;7;52;5;W;707;C;S
IN;DWR Agartala;23;53;20;N;91;15;16;E;16;S;S
OM;Ras Al-Had;22;17;57;N;59;48;48;E;45;S;D
OM;Salalah;17;7;32;N;53;55;58;E;975;S;D
OM;Duqm;19;29;56;N;57;37;26;E;120;S;D
OM;Fahud;22;18;9;N;56;29;42;E;275;S;D
OM;Muscat;23;34;5;N;58;17;15;E;5;S;D
IN;DWR Bhopal;23;14;29;N;77;25;26;E;531;S;S
IN;DWR Bhuj;23;14;31;N;69;38;45;E;120;S;S
IN;DWR Chennai;13;4;12;N;80;16;48;E;1;S;S
IN;DWR Delhi Palam;28;33;34;N;77;4;23;E;216;S;S
IN;DWR Delhi HQ;28;35;23;N;77;13;19;E;209;C;D
IN;DWR Goa;15;29;18;N;73;49;24;E;59;S;S
IN;DWR Hyderabad;17;27;18;N;78;28;24;E;535;S;S
IN;DWR Jaipur;26;49;14;N;75;49;7;E;385;C;D
IN;DWR Kolkata;22;34;12;N;88;20;59;E;9;S;S
IN;DWR Lucknow;26;46;7;N;80;53;7;E;122;S;S
IN;DWR Machilipatnam;16;10;48;N;81;9;0;E;3;S;S
IN;DWR Mohanbari;27;14;0;N;95;1;0;E;111;S;S
IN;DWR Mumbai;18;54;4;N;72;48;32;E;3;S;S
IN;DWR Nagpur;21;5;48;N;79;3;48;E;311;S;S
IN;DWR Paradip;20;15;32;N;86;39;13;E;9;S;S
IN;DWR Patiala;30;21;27;N;76;26;59;E;251;S;S
IN;DWR Patna;30;21;27;N;76;26;59;E;251;S;S
IN;DWR Srinagar;34;3;26;N;74;48;48;E;1588;X;S
IN;DWR Vishakhapatnam;17;24;0;N;83;16;48;E;149;S;S
IN;DWR Gopalpur;19;15;44;N;84;53;53;E;26;S;D
MA;Fes;33;55;49;N;4;58;7;W;515;C;S
MA;Khouribga;32;51;18;N;6;57;25;W;774;C;S
GR;Im?ttos;37;56;48;N;23;48;50;E;1023;C;S
GR;Preveza;38;54;59;N;20;45;10;E;34;C;S
GR;Xrisoupoli;40;55;59;N;24;37;41;E;38;C;D
GR;Astypalaia;36;21;47;N;26;15;48;E;367;C;S
IR;Fars;29;41;6;N;52;24;32;E;2560;C;D
IR;Bushehr;28;55;59;N;50;53;17;E;10;C;S
SK;Kubinska Hola;49;16;18;N;19;14;58;E;1405;C;D
SK;Spani laz;48;14;25;N;19;15;27;E;619;C;D
RW;KGL1, ARC C250P Radar;2;9;29;S;30;6;47;E;1567;C;D
AR;JUJUY-EEC;24;14;25;S;65;19;59;W;1719;C;S
RU;Belgorod;50;28;0;N;36;17;0;E;280;C;D
RU;Krasnodar;45;2;0;N;39;9;0;E;76;C;D
RU;Millerovo;48;56;0;N;40;24;0;E;197;C;D
RU;Novosibirsk;55;1;0;N;82;37;0;E;100;C;D
RU;Tambov;52;46;0;N;41;44;0;E;217;C;D
SG;C-MDWR;1;24;54;N;103;53;1;E;2.8;C;D
